
Plan name:,SALESFORCE.COM      
Date Range,01/01/2014 - 04/19/2015,,,,


Date,Investment,Transaction Type,Amount,Shares/Unit
08/01/2014,FID DIVERSIFD INTL K,CONTRIBUTION,"181.25","4.909"
08/01/2014,FID CONTRAFUND K,CONTRIBUTION,"181.25","1.855"
07/15/2014,SPTN 500 INDEX INST,CONTRIBUTION,"181.25","2.589"
07/15/2014,OPP DEVELOPING MKT Y,CONTRIBUTION,"135.94","3.387"
07/15/2014,FID LOW PRICED STK K,CONTRIBUTION,"226.56","4.377"
07/15/2014,FID DIVERSIFD INTL K,CONTRIBUTION,"181.25","4.804"
07/15/2014,FID CONTRAFUND K,CONTRIBUTION,"181.25","1.821"
07/03/2014,SPTN 500 INDEX INST,DIVIDEND,"3.50","0.050"
06/30/2014,SPTN 500 INDEX INST,CONTRIBUTION,"181.25","2.595"
06/30/2014,OPP DEVELOPING MKT Y,CONTRIBUTION,"135.94","3.414"
06/30/2014,FID LOW PRICED STK K,CONTRIBUTION,"226.56","4.368"
06/30/2014,FID DIVERSIFD INTL K,CONTRIBUTION,"181.25","4.771"
06/30/2014,FID CONTRAFUND K,CONTRIBUTION,"181.25","1.825"
06/13/2014,SPTN 500 INDEX INST,CONTRIBUTION,"181.25","2.629"
06/13/2014,OPP DEVELOPING MKT Y,CONTRIBUTION,"135.94","3.438"
06/13/2014,FID LOW PRICED STK K,CONTRIBUTION,"226.56","4.430"
06/13/2014,FID DIVERSIFD INTL K,CONTRIBUTION,"181.25","4.803"
06/13/2014,FID CONTRAFUND K,CONTRIBUTION,"181.25","1.854"
05/30/2014,SPTN 500 INDEX INST,CONTRIBUTION,"181.25","2.649"
05/30/2014,OPP DEVELOPING MKT Y,CONTRIBUTION,"135.94","3.530"
05/30/2014,FID LOW PRICED STK K,CONTRIBUTION,"226.56","4.484"
05/30/2014,FID DIVERSIFD INTL K,CONTRIBUTION,"181.25","4.830"
05/30/2014,FID CONTRAFUND K,CONTRIBUTION,"181.25","1.869"
05/16/2014,SPTN 500 INDEX INST,CONTRIBUTION,"181.25","2.715"
05/16/2014,OPP DEVELOPING MKT Y,CONTRIBUTION,"135.94","3.544"
05/16/2014,FID LOW PRICED STK K,CONTRIBUTION,"226.56","4.581"
05/16/2014,FID DIVERSIFD INTL K,CONTRIBUTION,"181.25","4.933"
05/16/2014,FID CONTRAFUND K,CONTRIBUTION,"181.25","1.935"
